id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11189477,Grato ambiente y gran compania,58247697,Lionel,,Las Condes,-33.42196,-70.5794,Private room,20969,1,0,,,1,365,0,
11189515,Habitación Las Condes- Chile,58250124,Claudia,,Las Condes,-33.41649,-70.55619,Private room,20000,7,0,,,1,364,0,
11189866,Lovely Room w/ Queen bed & Bathroom,45601650,Familia,,Las Condes,-33.42196,-70.58002,Private room,28227,1,0,,,1,365,0,
11190074,Habitación con excelente ubicación,58255071,Vicky,,Providencia,-33.44689,-70.59267,Private room,28227,2,0,,,1,365,0,
11190094,"monte blanco colorado, farellones",58248090,Guillermo,,Lo Barnechea,-33.3224,-70.25344,Entire home/apt,315000,3,8,2018-08-12,0.13,1,365,1,
11190642,Departamento centro cívico barrio casco histórico,58249849,Ramon,,Santiago,-33.44579,-70.64723,Private room,30000,2,0,,,1,363,0,
11191021,Habitacion simple con baño,58249584,Juan Carlos,,Las Condes,-33.39376,-70.50832,Private room,24195,5,0,,,1,365,0,
11191066,"Habitación Privada, Stgo Centro",58244578,Cristian,,Santiago,-33.44341,-70.66103,Private room,30000,1,0,,,1,365,0,
11197074,Departamento Amoblado,58300012,Lidia,,Estación Central,-33.45357,-70.69467,Entire home/apt,40325,3,1,2018-07-22,0.03,1,359,0,
11200213,"Studio, impecable Santiago",58317020,Juan,,Renca,-33.40114,-70.70375,Entire home/apt,35000,5,0,,,1,365,0,
11200429,"Habitacion Privada, baño
Las Condes",58312305,Yessica,,Las Condes,-33.41556,-70.58295,Private room,20162,2,0,,,1,365,0,
11203399,Moderno dpto en ñuñoa con wifi,58337441,Felipe,,Ñuñoa,-33.47014,-70.59769,Private room,28000,1,3,2016-10-22,0.06,1,0,0,
11206554,Espectacular ubicación cerca de Mall Los Dominicos,58356391,Maria Elena,,Las Condes,-33.41564,-70.53886,Private room,16130,1,110,2018-04-17,1.70,2,320,12,
11206900,AMPLIA CASA EN TRANQUILO SECTOR DE SANTIAGO,58359056,Carlos,,Huechuraba,-33.35625,-70.6783,Private room,32497,1,5,2019-10-26,0.08,1,0,0,
11207846,Habitación Pleno Centro de Santiago!,40068261,Macarena,,Santiago,-33.43599,-70.66456,Private room,18000,1,1,2018-08-05,0.03,3,365,0,
11212472,duerme frente a la plaza brasil,58404880,Carmelo,,Santiago,-33.44158,-70.66425,Private room,24372,1,0,,,1,365,0,
11217337,Furnished Apart Forestal Park 12,131488797,Daniela,,Santiago,-33.43375,-70.647,Entire home/apt,32143,3,191,2019-12-29,2.79,6,336,6,
11218407,"Room w/private bathroom, next to subway",94516577,Catalina,,Providencia,-33.4351,-70.628,Entire home/apt,17643,7,33,2019-12-29,0.54,1,5,4,
11218729,Habitación En Providencia,58433754,Sebastian,,Providencia,-33.44241,-70.60499,Private room,24195,1,0,,,1,365,0,
11219629,Dormitorio y baño privado Santiago,58455573,Sandra,,Santiago,-33.44726,-70.63511,Private room,18000,1,0,,,1,365,0,
11224787,DOS HABITACIONES AMOBLADAS EN CASA,58491396,Cristina,,Las Condes,-33.41639,-70.56912,Private room,20162,5,0,,,1,89,0,
11226656,loft en full santiago center,58507319,Fernando,,Santiago,-33.4321,-70.65925,Entire home/apt,38000,2,101,2021-08-31,1.48,1,167,3,
11237285,:::COSY FLAT TO STAY IN SANTIAGO:::,58591149,Josefina,,Las Condes,-33.42469,-70.58336,Entire home/apt,85017,3,0,,,2,365,0,
11253241,"5P Parking, Fast WIFI, Great location and view.",53778739,Miguel,,Recoleta,-33.42481,-70.64057,Entire home/apt,64993,1,331,2021-03-16,4.83,3,353,47,
11253547,Habitación privada baño compartido,58717856,Isabel,,Las Condes,-33.40112,-70.56422,Private room,24195,1,0,,,1,365,0,
11261042,Habitación en centro de Santiago,58714750,Karen,,Santiago,-33.44743,-70.64662,Private room,9000,1,2,2019-06-22,0.07,1,358,0,
11269593,Haabitación baño privado sector Ori,58840119,Mireya,,La Reina,-33.43574,-70.57171,Private room,25000,1,0,,,1,365,0,
11272152,"Céntrico en Providencia, con gato",40891767,Alfredo,,Providencia,-33.42074,-70.61371,Private room,32497,3,0,,,1,365,0,
11272595,habitación en departamento compartido en zona sur.,13992726,Mitzy,,El Bosque,-33.55798,-70.66892,Private room,9000,1,8,2021-09-30,0.27,2,365,7,
11272916,Habitacion con impresionante vista,58337491,Reynaldo,,Santiago,-33.43895,-70.63744,Private room,18000,5,0,,,1,365,0,
11281450,Private rooms  #1,58924923,Sergio,,Recoleta,-33.4214,-70.64157,Private room,17873,1,5,2017-07-17,0.10,2,365,0,
11297203,Acogedor departamento para turistas,59031456,Erica,,San Miguel,-33.50535,-70.66007,Private room,30000,1,0,,,1,365,0,
11297319,Casa con excelente Acceso,12333596,German,,Las Condes,-33.38562,-70.53528,Entire home/apt,93428,15,0,,,1,358,0,
11298899,"Depto 2 dormitorio, metro Moneda",59046379,Ana,,Santiago,-33.46152,-70.65262,Entire home/apt,35000,4,1,2016-10-20,0.02,1,365,0,
